variant,scope,sample_label,mass_MeV,bin_width_MeV,source_bin_width_MeV,rebin_factor,support_lo_MeV,support_hi_MeV,n_full,n_blind,n_train,blind_lo_MeV,blind_hi_MeV,template_fraction_in_window,integral_density_counts_per_GeV,K_events_per_eps2,Ahat_signed_events,sigmaA_wald_events,eps2_hat_signed,eps2_sigma_wald,eps2_wald_low,eps2_wald_high,eps2_hat_bounded,eps2_profile68_low,eps2_profile68_high,profile68_lower_at_boundary,p0_asymptotic_local,Z_asymptotic_local,q0_asymptotic_local,delta_eps2_hat_vs_native,delta_Z_vs_native,delta_p0_vs_native,const_opt,ls_opt,ls_lo,ls_hi,ls_at_lower,ls_at_upper,lml,optimizer_seed,fit_signed_success,fit_bounded_success,profile_calls_success,q0_block_2015,q0_block_2016,q0_block_2021
native_v4p2,2015,2015 100%,65,0.25000000000000022,0.049999999999997963,5,14,135,484,60,424,57.424222666875579,72.575777333124421,0.97408573637151363,52929794.734104469,175580846.94262734,4097.4657446471892,1711.3533091641848,2.3336632759187418e-05,9.7468108792263964e-06,1.3589821879961022e-05,3.3083443638413815e-05,2.3336632759187418e-05,1.3592102948939851e-05,3.3088344761409741e-05,False,0.0083074500521886155,2.3951205835984806,5.7366026099771261,0,0,0,48.988717872052568,0.35286428108951112,0.050503159861965852,0.40402527889572681,False,False,1006.3818298900312,,True,True,True,,,
native_v4p2,2016,2016 100%,65,0.25000000000000022,0.049999999999994493,5,30,210,720,48,672,59.005165685937499,70.994834314062501,0.97567386032536507,1373486827.9119611,2680109309.0640068,4071.6412381202458,6854.3576491474587,1.5192071548537748e-06,2.557491825414111e-06,-1.0382846705603362e-06,4.0766989802678856e-06,1.5192071548537746e-06,0,4.0800111994466316e-06,True,0.27577837136741939,0.59542900407243016,0.35453569889068604,0,0,0,100.87281396914724,0.40371566388527919,0.036155241837688527,0.48206989116918031,False,False,2261.862126255427,,True,True,True,,,
native_v4p2,2021,2021 10%,65,0.62500000000000056,0.12500000000000011,5,40,300,416,16,400,60.226182031250005,69.773817968749995,0.98155711287734637,1556935082.4369991,3116477094.8189502,28038.92335432742,6609.5299891294862,8.9969932398801487e-06,2.1208338094695551e-06,6.8761594304105932e-06,1.1117827049349704e-05,8.9969932398801487e-06,6.9451875624650512e-06,1.1121219235031316e-05,False,1.0570174746584504e-05,4.2524933513430154,18.083699703216553,0,0,0,66.347717364884332,0.31947504048628561,0.035332080472152819,0.4818010973475384,False,False,1648.8060874598366,,True,True,True,,,
native_v4p2,combined,2015 + 2016 + 2021,65,,,,,,,,,,,,,,,,6.4270625855626069e-06,1.6100905512431245e-06,4.8169720343194828e-06,8.0371531368057309e-06,6.4270625855626069e-06,4.8215305887252897e-06,8.0384510012733873e-06,False,3.2591749269442403e-05,3.9932146934458284,15.94576358795166,0,0,0,,,,,,,,,True,True,True,2.7255800701677799,-3.3220012187957764,16.542184472084045
common_0p5MeV,2015,2015 100%,65,0.50000000000000044,0.049999999999997963,10,14,135,242,30,212,57.424222666875579,72.575777333124421,0.97408573637151363,52929794.734104469,175580846.94262734,4107.5335451244191,1709.7081988671973,2.3393972729079008e-05,9.7374413476081488e-06,1.365653138147086e-05,3.3131414076687155e-05,2.3393972729079005e-05,1.3658950024358901e-05,3.3138661783041046e-05,False,0.0081220236020072521,2.4033856334590427,5.7762625031173229,5.7339969891590165e-08,0.0082650498605620903,-0.00018542645018136336,53.371843709146603,0.35481349961221975,0.050503159861965852,0.40402527889572681,False,False,537.18617890973007,20260806,True,True,True,,,
common_0p5MeV,2016,2016 100%,65,0.50000000000000044,0.049999999999994493,10,30,210,360,24,336,59.005165685937499,70.994834314062501,0.97567386032536507,1373486827.9119611,2680109309.0640068,3604.0685327895694,6870.5253458085463,1.3447468431980647e-06,2.5635243020024386e-06,-1.2187774588043739e-06,3.908271145200503e-06,1.3447468431980647e-06,0,3.9117677581973804e-06,True,0.29943323906641833,0.52603127371715963,0.27670890092849731,-1.7446031165571013e-07,-0.069397730355270526,0.023654867698998938,102.99208309910243,0.40343776017924382,0.036155241837688527,0.48206989116918031,False,False,1192.3450136531346,20260908,True,True,True,,,
common_0p5MeV,2021,2021 10%,65,0.50000000000000044,0.12500000000000011,4,40,300,520,20,500,60.226182031250005,69.773817968749995,0.98155711287734626,1556935082.4369991,3116477094.8189502,27153.694625471409,6605.6974797981056,8.712945354423946e-06,2.1196040525309426e-06,6.5933413018930038e-06,1.0832549406954888e-05,8.7129453544239476e-06,6.5960731048766767e-06,1.0835282185806918e-05,False,1.8802306246493544e-05,4.1217248876277157,16.988616049289703,-2.8404788545620274e-07,-0.13076846371529971,8.2321314999090404e-06,64.356660976521937,0.3184336921880363,0.035332080472152819,0.4818010973475384,False,False,2033.3502386345865,20261008,True,True,True,,,
common_0p5MeV,combined,2015 + 2016 + 2021,65,0.50000000000000044,,,,,,,,,,,,,,,6.2071888742375069e-06,1.6110089317753577e-06,4.5961799424621492e-06,7.8181978060128637e-06,6.2071888742375077e-06,4.5987927646192882e-06,7.796664695806437e-06,False,5.8032689832390567e-05,3.8542912162382765,14.855560779571533,-2.1987371132509996e-07,-0.13892347720755183,2.5440940562948165e-05,,,,,,,,,True,True,True,2.6580594629049301,-3.3140228390693665,15.511524140834808
common_1p25MeV,2015,2015 100%,65,1.2500000000000011,0.049999999999997963,25,14,133.99999999999997,96,12,84,57.424222666875579,72.575777333124421,0.97367545471057382,52929794.734104469,175580846.94262734,3801.0876796747502,1709.9466427380028,2.1648646454683014e-05,9.7387993765444339e-06,1.190984707813858e-05,3.1387445831227448e-05,2.1648646454683011e-05,1.1911845932005344e-05,3.1390708414855947e-05,False,0.01308617834333487,2.2236447281616627,4.9445958770811558,-1.6879863045044039e-06,-0.17147585543681787,0.0047787282911462541,55.518160687986999,0.36090976681839515,0.050503159861965852,0.40402527889572681,False,False,190.66429907403258,20260806,True,True,True,,,
common_1p25MeV,2016,2016 100%,65,1.2500000000000011,0.049999999999994493,25,30,210,144,10,134,59.005165685937499,70.994834314062501,0.98101215837594336,1373486827.9119611,2680109309.0640068,4978.223786401818,6950.3475072270057,1.8574704283760715e-06,2.5933074758261721e-06,-7.3583704745010064e-07,4.4507779042022436e-06,1.8574704283760715e-06,0,4.4529360206892307e-06,True,0.23658280699773432,0.71733792125849005,0.51457369327545166,3.3826327352229669e-07,0.1219089171860599,-0.039195564369685076,105.49567559344541,0.40889047492615865,0.036155241837688527,0.48206989116918031,False,False,506.78041613562624,20260908,True,True,True,,,
common_1p25MeV,2021,2021 10%,65,1.2500000000000011,0.12500000000000011,10,40,300,208,8,200,60.226182031250005,69.773817968749995,0.98155711287734637,1556935082.4369991,3116477094.8189502,27417.892324200231,6720.6985461437171,8.7977198259475926e-06,2.1565050349051744e-06,6.6412147910424177e-06,1.0954224860852767e-05,8.7977198259475926e-06,6.7196957022752773e-06,1.0958112163853354e-05,False,2.1450897720624962e-05,4.091269644408321,16.738487303256989,-1.9927341393255612e-07,-0.16122370693469446,1.0880722974040458e-05,76.608235664045594,0.32081646588242035,0.035332080472152819,0.4818010973475384,False,False,834.33323126554876,20261009,True,True,True,,,
common_1p25MeV,combined,2015 + 2016 + 2021,65,1.2500000000000011,,,,,,,,,,,,,,,6.4049376290068587e-06,1.6345767240104713e-06,4.7703609049963875e-06,8.03951435301733e-06,6.4049376290068587e-06,4.769342415681762e-06,8.0268273427337824e-06,False,4.4446717739795143e-05,3.919064202253153,15.359064221382141,-2.2124956555748131e-08,-0.074150491192675361,1.185496847035274e-05,,,,,,,,,True,True,True,2.4887419808655977,-2.5559951066970825,15.426317453384399
